time(sec),ch1,ch2,ch3
7.977,-0.137,-0.137,-0.137
7.984,-0.137,-0.137,-0.137
7.992,-0.137,-0.137,-0.137
8,-0.137,-0.137,-0.137
8.008,-0.137,-0.137,-0.137
8.016,-0.137,-0.137,-0.137
8.023,-0.137,-0.137,-0.137
8.031,-0.137,-0.137,-0.137
8.039,-0.137,-0.137,-0.137
8.047,-0.137,-0.137,-0.137
8.055,-0.137,-0.137,-0.137
8.063,-0.137,-0.137,-0.137
8.07,-0.137,-0.137,-0.137
8.078,-0.137,-0.137,-0.137
8.086,-0.137,-0.137,-0.137
8.094,-0.137,-0.137,-0.137
8.102,-0.137,-0.137,-0.137
8.109,-0.137,-0.137,-0.137
8.117,-0.137,-0.137,-0.137
8.125,-0.137,-0.137,-0.137
8.133,-0.137,-0.137,-0.137
8.141,-0.137,-0.137,-0.137
8.148,-0.137,-0.137,-0.137
8.156,-0.137,-0.137,-0.137
8.164,-0.137,-0.137,-0.137
8.172,-0.137,-0.137,-0.137
8.18,-0.137,-0.137,-0.137
8.188,-0.137,-0.137,-0.137
8.195,-0.137,-0.137,-0.137
8.203,-0.137,-0.137,-0.137
8.211,-0.137,-0.137,-0.137
8.219,-0.137,-0.137,-0.137
8.227,-0.137,-0.137,-0.137
8.234,-0.137,-0.137,-0.137
8.242,-0.137,-0.137,-0.137
8.25,-0.137,-0.137,-0.137
8.258,-0.137,-0.137,-0.137
8.266,-0.137,-0.137,-0.137
8.273,-0.137,-0.137,-0.137
8.281,-0.137,-0.137,-0.137
8.289,-0.137,-0.137,-0.137
8.297,-0.137,-0.137,-0.137
8.305,-0.137,-0.137,-0.137
8.313,-0.137,-0.137,-0.137
8.32,-0.137,-0.137,-0.137
8.328,-0.137,-0.137,-0.137
8.336,-0.137,-0.137,-0.137
8.344,-0.137,-0.137,-0.137
8.352,-0.137,-0.137,-0.137
8.359,-0.137,-0.137,-0.137
8.367,-0.137,-0.137,-0.137
8.375,-0.137,-0.137,-0.137
8.383,-0.137,-0.137,-0.137
8.391,-0.137,-0.137,-0.137
8.398,-0.137,-0.137,-0.137
8.406,-0.137,-0.137,-0.137
8.414,-0.137,-0.137,-0.137
8.422,-0.137,-0.137,-0.137
8.43,0.078,0.078,0.078
8.438,0.627,0.627,0.627
8.445,0.765,0.765,0.765
8.453,0.804,0.804,0.804
8.461,0.804,0.804,0.804
8.469,0.804,0.804,0.804
8.477,0.804,0.804,0.804
8.484,0.804,0.804,0.804
8.492,0.804,0.804,0.804
8.5,0.804,0.804,0.804
8.508,0.804,0.804,0.804
8.516,0.804,0.804,0.804
8.523,0.804,0.804,0.804
8.531,0.804,0.804,0.804
8.539,0.804,0.804,0.804
8.547,0.804,0.804,0.804
8.555,0.804,0.804,0.804
8.563,0.804,0.804,0.804
8.57,0.569,0.569,0.569
8.578,0.02,0.02,0.02
8.586,-0.098,-0.098,-0.098
8.594,-0.137,-0.137,-0.137
8.602,-0.137,-0.137,-0.137
8.609,-0.137,-0.137,-0.137
8.617,-0.137,-0.137,-0.137
8.625,-0.137,-0.137,-0.137
8.633,-0.137,-0.137,-0.137
8.641,-0.137,-0.137,-0.137
8.648,-0.137,-0.137,-0.137
8.656,-0.137,-0.137,-0.137
8.664,-0.137,-0.137,-0.137
8.672,-0.137,-0.137,-0.137
8.68,-0.137,-0.137,-0.137
8.688,-0.137,-0.137,-0.137
8.695,-0.137,-0.137,-0.137
8.703,-0.137,-0.137,-0.137
8.711,-0.137,-0.137,-0.137
8.719,-0.137,-0.137,-0.137
8.727,-0.137,-0.137,-0.137
8.734,-0.137,-0.137,-0.137
8.742,-0.137,-0.137,-0.137
8.75,-0.137,-0.137,-0.137
8.758,-0.137,-0.137,-0.137
8.766,-0.137,-0.137,-0.137
8.773,-0.137,-0.137,-0.137
8.781,-0.137,-0.137,-0.137
8.789,-0.137,-0.137,-0.137
8.797,-0.137,-0.137,-0.137
8.805,-0.137,-0.137,-0.137
8.813,-0.137,-0.137,-0.137
8.82,-0.137,-0.137,-0.137
8.828,-0.137,-0.137,-0.137
8.836,-0.137,-0.137,-0.137
8.844,-0.137,-0.137,-0.137
8.852,-0.137,-0.137,-0.137
8.859,-0.137,-0.137,-0.137
8.867,-0.137,-0.137,-0.137
8.875,-0.137,-0.137,-0.137
8.883,-0.137,-0.137,-0.137
8.891,-0.137,-0.137,-0.137
8.898,-0.137,-0.137,-0.137
8.906,-0.137,-0.137,-0.137
8.914,-0.137,-0.137,-0.137
8.922,-0.137,-0.137,-0.137
8.93,-0.137,-0.137,-0.137
8.938,-0.137,-0.137,-0.137
8.945,-0.137,-0.137,-0.137
8.953,-0.137,-0.137,-0.137
8.961,-0.137,-0.137,-0.137
8.969,-0.137,-0.137,-0.137
8.977,-0.137,-0.137,-0.137
8.984,-0.137,-0.137,-0.137
8.992,-0.137,-0.137,-0.137
9,-0.137,-0.137,-0.137
9.008,-0.137,-0.137,-0.137
9.016,-0.137,-0.137,-0.137
9.023,-0.137,-0.137,-0.137
9.031,-0.137,-0.137,-0.137
9.039,-0.137,-0.137,-0.137
9.047,-0.137,-0.137,-0.137
9.055,-0.137,-0.137,-0.137
9.063,-0.137,-0.137,-0.137
9.07,-0.137,-0.137,-0.137
9.078,-0.137,-0.137,-0.137
9.086,-0.137,-0.137,-0.137
9.094,-0.137,-0.137,-0.137
9.102,-0.137,-0.137,-0.137
9.109,-0.137,-0.137,-0.137
9.117,-0.137,-0.137,-0.137
9.125,-0.137,-0.137,-0.137
9.133,-0.137,-0.137,-0.137
9.141,-0.137,-0.137,-0.137
9.148,-0.137,-0.137,-0.137
9.156,-0.137,-0.137,-0.137
9.164,-0.137,-0.137,-0.137
9.172,-0.137,-0.137,-0.137
9.18,-0.137,-0.137,-0.137
9.188,-0.137,-0.137,-0.137
9.195,-0.137,-0.137,-0.137
9.203,-0.137,-0.137,-0.137
9.211,-0.137,-0.137,-0.137
9.219,-0.137,-0.137,-0.137
9.227,-0.137,-0.137,-0.137
9.234,-0.137,-0.137,-0.137
9.242,-0.137,-0.137,-0.137
9.25,-0.137,-0.137,-0.137
9.258,-0.137,-0.137,-0.137
9.266,-0.137,-0.137,-0.137
9.273,-0.137,-0.137,-0.137
9.281,-0.137,-0.137,-0.137
9.289,-0.137,-0.137,-0.137
9.297,-0.137,-0.137,-0.137
9.305,-0.137,-0.137,-0.137
9.313,-0.137,-0.137,-0.137
9.32,-0.137,-0.137,-0.137
9.328,-0.137,-0.137,-0.137
9.336,-0.137,-0.137,-0.137
9.344,-0.137,-0.137,-0.137
9.352,-0.137,-0.137,-0.137
9.359,-0.137,-0.137,-0.137
9.367,-0.137,-0.137,-0.137
9.375,-0.137,-0.137,-0.137
9.383,-0.137,-0.137,-0.137
9.391,-0.137,-0.137,-0.137
9.398,-0.137,-0.137,-0.137
9.406,-0.137,-0.137,-0.137
9.414,-0.137,-0.137,-0.137
9.422,-0.137,-0.137,-0.137
9.43,0.078,0.078,0.078
9.438,0.627,0.627,0.627
9.445,0.765,0.765,0.765
9.453,0.804,0.804,0.804
9.461,0.804,0.804,0.804
9.469,0.804,0.804,0.804
9.477,0.804,0.804,0.804
9.484,0.804,0.804,0.804
9.492,0.804,0.804,0.804
9.5,0.804,0.804,0.804
9.508,0.804,0.804,0.804
9.516,0.804,0.804,0.804
9.523,0.804,0.804,0.804
9.531,0.804,0.804,0.804
9.539,0.804,0.804,0.804
9.547,0.804,0.804,0.804
9.555,0.804,0.804,0.804
9.563,0.804,0.804,0.804
9.57,0.569,0.569,0.569
9.578,0.02,0.02,0.02
9.586,-0.098,-0.098,-0.098
9.594,-0.137,-0.137,-0.137
9.602,-0.137,-0.137,-0.137
9.609,-0.137,-0.137,-0.137
9.617,-0.137,-0.137,-0.137
9.625,-0.137,-0.137,-0.137
9.633,-0.137,-0.137,-0.137
9.641,-0.137,-0.137,-0.137
9.648,-0.137,-0.137,-0.137
9.656,-0.137,-0.137,-0.137
9.664,-0.137,-0.137,-0.137
9.672,-0.137,-0.137,-0.137
9.68,-0.137,-0.137,-0.137
9.688,-0.137,-0.137,-0.137
9.695,-0.137,-0.137,-0.137
9.703,-0.137,-0.137,-0.137
9.711,-0.137,-0.137,-0.137
9.719,-0.137,-0.137,-0.137
9.727,-0.137,-0.137,-0.137
9.734,-0.137,-0.137,-0.137
9.742,-0.137,-0.137,-0.137
9.75,-0.137,-0.137,-0.137
9.758,-0.137,-0.137,-0.137
9.766,-0.137,-0.137,-0.137
9.773,-0.137,-0.137,-0.137
