time,CH1
2.864,0.0570068
2.868,0.0593262
2.872,0.0626831
2.876,0.0666504
2.88,0.0716553
2.884,0.076355
2.888,0.0806885
2.892,0.0846558
2.896,0.0894775
2.9,0.0957642
2.904,0.102722
2.908,0.109985
2.912,0.117859
2.916,0.125305
2.92,0.133606
2.924,0.142944
2.928,0.152771
2.932,0.163879
2.936,0.174194
2.94,0.184875
2.944,0.193542
2.948,0.201172
2.952,0.20813
2.956,0.214722
2.96,0.220825
2.964,0.224731
2.968,0.226013
2.972,0.225159
2.976,0.223511
2.98,0.220154
2.984,0.213135
2.988,0.202393
2.992,0.187744
2.996,0.169128
3,0.148438
3.004,0.125793
3.008,0.103088
3.012,0.0817261
3.016,0.0618896
3.02,0.0445557
3.024,0.0296021
3.028,0.0175781
3.032,0.00848389
3.036,0.000305176
3.04,-0.00579834
3.044,-0.0112305
3.048,-0.0159912
3.052,-0.0201416
3.056,-0.0234985
3.06,-0.0261841
3.064,-0.0281372
3.068,-0.02948
3.072,-0.0296021
3.076,-0.0287476
3.08,-0.0269165
3.084,-0.0254517
3.088,-0.0258179
3.092,-0.0270996
3.096,-0.0296631
3.1,-0.0303955
3.104,-0.0299683
3.108,-0.0275879
3.112,-0.0255737
3.116,-0.0239868
3.12,-0.0235596
3.124,-0.0240479
3.128,-0.0257568
3.132,-0.0272827
3.136,-0.0286865
3.14,-0.0282593
3.144,-0.0262451
3.148,-0.024292
3.152,-0.0228271
3.156,-0.0221558
3.16,-0.0219116
3.164,-0.022583
3.168,-0.0228882
3.172,-0.0224609
3.176,-0.0222778
3.18,-0.0214844
3.184,-0.0203857
3.188,-0.0201416
3.192,-0.0197754
3.196,-0.0200195
3.2,-0.0211792
3.204,-0.0222778
3.208,-0.022583
3.212,-0.0214844
3.216,-0.0212402
3.22,-0.0214233
3.224,-0.0228882
3.228,-0.0244141
3.232,-0.0250244
3.236,-0.0241089
3.24,-0.0220947
3.244,-0.0194092
3.248,-0.0181274
3.252,-0.0192261
3.256,-0.0210571
3.26,-0.0220947
3.264,-0.0216064
3.268,-0.0203247
3.272,-0.0202026
3.276,-0.0228882
3.28,-0.0266724
3.284,-0.0291748
3.288,-0.0291138
3.292,-0.0269775
3.296,-0.0238037
3.3,-0.0217896
3.304,-0.0219727
3.308,-0.0230103
3.312,-0.0252075
3.316,-0.0270386
3.32,-0.0278931
3.324,-0.027771
3.328,-0.0265503
3.332,-0.0265503
3.336,-0.02771
3.34,-0.0289917
3.344,-0.0304565
3.348,-0.0313721
3.352,-0.0335693
3.356,-0.0353394
3.36,-0.0353394
3.364,-0.034729
3.368,-0.0324097
3.372,-0.0308838
3.376,-0.0326538
3.38,-0.0348511
3.384,-0.0377197
3.388,-0.0390625
3.392,-0.0388184
3.396,-0.0385132
3.4,-0.0390015
3.404,-0.0402832
3.408,-0.0418091
3.412,-0.0425415
3.416,-0.0427246
3.42,-0.0425415
3.424,-0.0422974
3.428,-0.0427856
3.432,-0.0438843
3.436,-0.0457764
3.44,-0.0457764
3.444,-0.0446777
3.448,-0.0429077
3.452,-0.0415649
